alpha,beta,gamma,mean_lambda2,partition_rate
0.1,0.1,0.05,0.8194436169936229,0.0
0.1,0.1,0.07500000000000001,0.8158799964381147,0.0
0.1,0.1,0.1,0.7958782786307966,0.0
0.1,0.1,0.125,0.8266663132607559,0.0
0.1,0.1,0.15000000000000002,0.8201961026221586,0.0
0.1,0.1,0.17500000000000004,0.8015849634964599,0.0
0.1,0.1,0.2,0.7997573629867009,0.0
0.1,0.15000000000000002,0.05,0.8257209465596964,0.0
0.1,0.15000000000000002,0.07500000000000001,0.8016130111801085,0.0
0.1,0.15000000000000002,0.1,0.8049415879427428,0.0
0.1,0.15000000000000002,0.125,0.8239155154463927,0.0
0.1,0.15000000000000002,0.15000000000000002,0.8019826028064773,0.0
0.1,0.15000000000000002,0.17500000000000004,0.8081241783637769,0.0
0.1,0.15000000000000002,0.2,0.8067524332706825,0.0
0.1,0.2,0.05,0.8164011553468471,0.0
0.1,0.2,0.07500000000000001,0.837465304297695,0.0
0.1,0.2,0.1,0.7992525762608375,0.0
0.1,0.2,0.125,0.8048915504799603,0.0
0.1,0.2,0.15000000000000002,0.8233914596158242,0.0
0.1,0.2,0.17500000000000004,0.8091486275141944,0.0
0.1,0.2,0.2,0.8125600627489855,0.0
0.1,0.25,0.05,0.8113567796101954,0.0
0.1,0.25,0.07500000000000001,0.8049448914780096,0.0
0.1,0.25,0.1,0.8136787833435569,0.0
0.1,0.25,0.125,0.8257443017955448,0.0
0.1,0.25,0.15000000000000002,0.8169771585633463,0.0
0.1,0.25,0.17500000000000004,0.793569803947087,0.0
0.1,0.25,0.2,0.8145891589280783,0.0
0.1,0.30000000000000004,0.05,0.7980550391318673,0.0
0.1,0.30000000000000004,0.07500000000000001,0.822503267635513,0.0
0.1,0.30000000000000004,0.1,0.7961013412420269,0.0
0.1,0.30000000000000004,0.125,0.8194601184522923,0.0
0.1,0.30000000000000004,0.15000000000000002,0.815846895807275,0.0
0.1,0.30000000000000004,0.17500000000000004,0.7946474246987862,0.0
0.1,0.30000000000000004,0.2,0.8179744482788286,0.0
0.1,0.3500000000000001,0.05,0.8180260717454163,0.0
0.1,0.3500000000000001,0.07500000000000001,0.7883123089451547,0.0
0.1,0.3500000000000001,0.1,0.8260061288025349,0.0
0.1,0.3500000000000001,0.125,0.8211076762888767,0.0
0.1,0.3500000000000001,0.15000000000000002,0.7797773157027693,0.0
0.1,0.3500000000000001,0.17500000000000004,0.8197494641442564,0.0
0.1,0.3500000000000001,0.2,0.8273404989726726,0.0
0.1,0.4,0.05,0.8054363028598702,0.0
0.1,0.4,0.07500000000000001,0.8025224360370531,0.0
0.1,0.4,0.1,0.8259352305085885,0.0
0.1,0.4,0.125,0.8260743132474394,0.0
0.1,0.4,0.15000000000000002,0.8156213272827252,0.0
0.1,0.4,0.17500000000000004,0.8269651625238054,0.0
0.1,0.4,0.2,0.810914169041853,0.0
0.15000000000000002,0.1,0.05,0.8346422866802564,0.0
0.15000000000000002,0.1,0.07500000000000001,0.7962946295614948,0.0
0.15000000000000002,0.1,0.1,0.8110487056174942,0.0
0.15000000000000002,0.1,0.125,0.7973558166479567,0.0
0.15000000000000002,0.1,0.15000000000000002,0.825985452475322,0.0
0.15000000000000002,0.1,0.17500000000000004,0.801566969547954,0.0
0.15000000000000002,0.1,0.2,0.7966819754408406,0.0
0.15000000000000002,0.15000000000000002,0.05,0.7863265378645267,0.0
0.15000000000000002,0.15000000000000002,0.07500000000000001,0.8216046304956481,0.0
0.15000000000000002,0.15000000000000002,0.1,0.8234582688715192,0.0
0.15000000000000002,0.15000000000000002,0.125,0.8306417300936907,0.0
0.15000000000000002,0.15000000000000002,0.15000000000000002,0.8206162394020892,0.0
0.15000000000000002,0.15000000000000002,0.17500000000000004,0.8072050509546953,0.0
0.15000000000000002,0.15000000000000002,0.2,0.7934952689668594,0.0
0.15000000000000002,0.2,0.05,0.8160129813430599,0.0
0.15000000000000002,0.2,0.07500000000000001,0.8339228482671885,0.0
0.15000000000000002,0.2,0.1,0.8088576860361705,0.0
0.15000000000000002,0.2,0.125,0.8040919557770687,0.0
0.15000000000000002,0.2,0.15000000000000002,0.8196732855339518,0.0
0.15000000000000002,0.2,0.17500000000000004,0.806808627670945,0.0
0.15000000000000002,0.2,0.2,0.8160751505129882,0.0
0.15000000000000002,0.25,0.05,0.8010212681517461,0.0
0.15000000000000002,0.25,0.07500000000000001,0.8089532175379324,0.0
0.15000000000000002,0.25,0.1,0.820684301636597,0.0
0.15000000000000002,0.25,0.125,0.8378540987419539,0.0
0.15000000000000002,0.25,0.15000000000000002,0.801918534533394,0.0
0.15000000000000002,0.25,0.17500000000000004,0.8237242584455023,0.0
0.15000000000000002,0.25,0.2,0.7931009298958297,0.0
0.15000000000000002,0.30000000000000004,0.05,0.8099151763031831,0.0
0.15000000000000002,0.30000000000000004,0.07500000000000001,0.8089230621322571,0.0
0.15000000000000002,0.30000000000000004,0.1,0.8046302771453866,0.0
0.15000000000000002,0.30000000000000004,0.125,0.8201827546881231,0.0
0.15000000000000002,0.30000000000000004,0.15000000000000002,0.8198152410933455,0.0
0.15000000000000002,0.30000000000000004,0.17500000000000004,0.8070459929146756,0.0
0.15000000000000002,0.30000000000000004,0.2,0.8257788134856584,0.0
0.15000000000000002,0.3500000000000001,0.05,0.8038085405265436,0.0
0.15000000000000002,0.3500000000000001,0.07500000000000001,0.8139256498844151,0.0
0.15000000000000002,0.3500000000000001,0.1,0.7969424848182173,0.0
0.15000000000000002,0.3500000000000001,0.125,0.8377987791650606,0.0
0.15000000000000002,0.3500000000000001,0.15000000000000002,0.7842698563396785,0.0
0.15000000000000002,0.3500000000000001,0.17500000000000004,0.8072995063175668,0.0
0.15000000000000002,0.3500000000000001,0.2,0.8133062907026717,0.0
0.15000000000000002,0.4,0.05,0.8330698420447021,0.0
